2023/09/16 20:37:37.453248 ttutil.go:133: -----------------------------------------------------------------------------------
2023/09/16 20:37:37.453757 ttdb.go:51: Opening DB Connection to mysql instance
User: root
Host: tuk.coil1nnpqdlr.eu-west-1.rds.amazonaws.com
Port: :3306
Name: tuk
Connect Timeout 2s
Read Timeout 5s
2023/09/16 20:37:37.453883 ttdb.go:54: Opened Database
2023/09/16 20:46:35.278136 ttdb.go:385: Persisted Template react_tmplt
2023/09/16 20:46:35.278291 ttdb.go:366: Persisted Template react_tmplt.html
2023/09/16 20:46:35.340416 ttdb.go:379: Persisting Template pdsretrieve_tmplt
2023/09/16 20:46:35.408589 ttdb.go:385: Persisted Template pdsretrieve_tmplt
2023/09/16 20:46:35.408621 ttdb.go:366: Persisted Template pdsretrieve_tmplt.html
2023/09/16 20:46:35.470106 ttdb.go:379: Persisting Template allpatientSrvs_tmplt
2023/09/16 20:46:35.531888 ttdb.go:385: Persisted Template allpatientSrvs_tmplt
2023/09/16 20:46:35.531921 ttdb.go:366: Persisted Template allpatientSrvs_tmplt.html
2023/09/16 20:46:35.598931 ttdb.go:379: Persisting Template spa2t_tmplt
2023/09/16 20:46:35.671555 ttdb.go:385: Persisted Template spa2t_tmplt
2023/09/16 20:46:35.671579 ttdb.go:366: Persisted Template spa2t_tmplt.html
2023/09/16 20:46:35.735673 ttdb.go:379: Persisting Template xdw2t_tmplt
2023/09/16 20:46:35.843444 ttdb.go:385: Persisted Template xdw2t_tmplt
2023/09/16 20:46:35.843734 ttdb.go:366: Persisted Template xdw2t_tmplt.html
2023/09/16 20:46:35.939090 ttdb.go:379: Persisting Template spaheader2t_tmplt
2023/09/16 20:46:36.047795 ttdb.go:385: Persisted Template spaheader2t_tmplt
2023/09/16 20:46:36.048035 ttdb.go:366: Persisted Template spaheader2t_tmplt.html
2023/09/16 20:46:36.215305 ttdb.go:379: Persisting Template patpoxy_tmplt
2023/09/16 20:46:36.297444 ttdb.go:385: Persisted Template patpoxy_tmplt
2023/09/16 20:46:36.297506 ttdb.go:366: Persisted Template patpoxy_tmplt.html
2023/09/16 20:46:36.427963 ttdb.go:379: Persisting Template pds_tmplt
2023/09/16 20:46:36.560456 ttdb.go:385: Persisted Template pds_tmplt
2023/09/16 20:46:36.560513 ttdb.go:366: Persisted Template pds_tmplt.html
2023/09/16 20:46:36.739809 ttdb.go:379: Persisting Template error_tmplt
2023/09/16 20:46:36.871704 ttdb.go:385: Persisted Template error_tmplt
2023/09/16 20:46:36.871832 ttdb.go:366: Persisted Template error_tmplt.html
2023/09/16 20:46:36.986294 ttdb.go:379: Persisting Template dsuback_tmplt
2023/09/16 20:46:37.110556 ttdb.go:385: Persisted Template dsuback_tmplt
2023/09/16 20:46:37.110662 ttdb.go:366: Persisted Template dsuback_tmplt.xml
2023/09/16 20:46:37.245771 ttdb.go:379: Persisting Template pixm_tmplt
2023/09/16 20:46:37.418161 ttdb.go:385: Persisted Template pixm_tmplt
2023/09/16 20:46:37.418295 ttdb.go:366: Persisted Template pixm_tmplt.html
2023/09/16 20:46:37.480356 ttdb.go:379: Persisting Template subscriptions2t_tmplt
2023/09/16 20:46:37.565784 ttdb.go:385: Persisted Template subscriptions2t_tmplt
2023/09/16 20:46:37.566009 ttdb.go:366: Persisted Template subscriptions2t_tmplt.html
2023/09/16 20:46:37.695091 ttdb.go:379: Persisting Template codemaps2t_tmplt
2023/09/16 20:46:37.803937 ttdb.go:385: Persisted Template codemaps2t_tmplt
2023/09/16 20:46:37.804083 ttdb.go:366: Persisted Template codemaps2t_tmplt.html
2023/09/16 20:46:37.866123 ttdb.go:379: Persisting Template mhdpublish_tmplt
2023/09/16 20:46:37.934074 ttdb.go:385: Persisted Template mhdpublish_tmplt
2023/09/16 20:46:37.934153 ttdb.go:366: Persisted Template mhdpublish_tmplt.json
2023/09/16 20:46:38.000468 ttdb.go:379: Persisting Template events_tmplt
2023/09/16 20:46:38.069723 ttdb.go:385: Persisted Template events_tmplt
2023/09/16 20:46:38.069867 ttdb.go:366: Persisted Template events_tmplt.html
2023/09/16 20:46:38.135942 ttdb.go:379: Persisting Template uploadfile2t_tmplt
2023/09/16 20:46:38.199222 ttdb.go:385: Persisted Template uploadfile2t_tmplt
2023/09/16 20:46:38.199273 ttdb.go:366: Persisted Template uploadfile2t_tmplt.html
2023/09/16 20:46:38.199441 ttserver.go:40: Starting ICB Workflow Service. Service Endpoint http://MacBook-Pro-3.lan:8080/
2023/09/17 11:40:55.905485 ttserver.go:52: ICB Workflow Service stopped
